Formato,Zona,Distrito,Suc SAP,Sucursal,Calle,Colonia,Municipio,Estado,Ciudad,CP,var_ventas,var_ov,var_ticket,month,latitud,longitud
Devlyn,Noroeste,Distrito 3,A757,PUERTO PARAISO,BLVD LAZARO CARDENAS LOCAL 36,Plaza Bonita,Los Cabos,Baja California Sur,Cabo San Lucas,23450,53.5,42.2,7.9,Enero,22.8938884,-109.92006
Coppel,Centro,Distrito 5,A522,COPPEL ADOLFO LOPEZ MATEOS (CELAYA),BLVD LOPEZ MATEOS,Celaya Centro,Celaya,Guanajuato,Celaya,38000,-71.0,-70.2,-2.5,Enero,20.51970235,-100.81386995
Devlyn,Noreste,Distrito 1,B427,SORIANA ZACATECAS,BLVD LOPEZ PORTILLO,3 Cruces Infonavit,Zacatecas,Zacatecas,Zacatecas,98064,-16.0,3.6,-18.9,Enero,22.7753891,-102.5722706
Coppel,Noroeste,Distrito 3,A593,COPPEL NOGALES,BLVD LUIS DONALDO COLOSIO,El Greco,Nogales,Sonora,Heroica Nogales,84066,-0.9,-9.9,10.0,Enero,31.3285057,-110.9450472
Devlyn,Noroeste,Distrito 3,A999,SORIANA NOGALES,BLVD LUIS DONALDO COLOSIO,Heroica Nogales Centro,Nogales,Sonora,Heroica Nogales,84000,-31.8,-9.7,-24.5,Enero,31.3285057,-110.9450472
Devlyn,Centro,Distrito 4,A900,GRAN PATIO PACHUCA,BLVD LUIS DONALDO COLOSIO KM 7.7,16 de Enero,Pachuca de Soto,Hidalgo,Pachuca de Soto,42064,-8.6,-5.2,-3.6,Enero,20.10451,-98.78892237167076
Sears,Centro,Distrito 4,B308,SEARS PACHUCA,BLVD LUIS DONALDO COLOSIO KM 77,Colinas de Plata,Mineral de la Reforma,Hidalgo,Mineral de la Reforma,42186,14.9,17.0,-1.8,Enero,20.06063885,-98.73057242363191
Devlyn,Sur,Distrito 3,B148,CHEDRAUI PARAISO,BLVD MANUEL ANTONIO ROMERO ZURITA,Francisco I. Madero (Madero),Paraíso,Tabasco,Paraíso,86600,-13.3,-52.9,84.0,Enero,18.362305499999998,-93.18835870012157
Devlyn,Sur,Distrito 5,B437,SORIANA MINATITLAN,BLVD MANUEL AVILA CAMACHO,Cuauhtémoc,Minatitlán,Veracruz de Ignacio de la Llave,Minatitlán,96880,27.6,10.2,15.8,Enero,17.992773,-94.5567103
Devlyn,Centro,Distrito 1,A316,PARQUE TOREO,BLVD MANUEL AVILA CAMACHO,Lomas de Sotelo,Naucalpan de Juárez,Estado de México,Naucalpan de Juárez,53390,-7.7,-14.0,7.3,Enero,19.4788356,-99.2327986
Devlyn,Centro,Distrito 1,A113,MUNDO E,BLVD MANUEL ÁVILA CAMACHO,Bosques de México,Tlalnepantla de Baz,Estado de México,Tlalnepantla de Baz,54050,-15.0,-27.3,17.0,Enero,19.546490249999998,-99.1899352247449
Devlyn,Metropolitana,Distrito 5,A853,PLAZA SENDERO TOLUCA,BLVD MIGUEL ALEMAN,Barrio San Gabriel,Toluca,Estado de México,Toluca de Lerdo,50200,-10.9,-3.7,-7.5,Enero,19.292545,-99.6569007
Devlyn,Noreste,Distrito 5,B243,DEVLYN SORIANA LAS ROSAS,BLVD MIGUEL ALEMAN,Las Rosas,Gómez Palacio,Durango,Gómez Palacio,35090,-46.5,-46.4,-0.2,Enero,25.5732473,-103.494779
Sears,Noreste,Distrito 5,B284,GOMEZ PALACIO SEARS,BLVD MIGUEL ALEMAN,Valle Campestre,Gómez Palacio,Durango,Gómez Palacio,35080,19.4,15.7,3.2,Enero,25.5732473,-103.494779
