Formato,Zona,Distrito,Suc SAP,Sucursal,Calle,Colonia,Municipio,Estado,Ciudad,CP,var_ventas,var_ov,var_ticket,month,latitud,longitud
Devlyn,Noreste,Distrito 4,B414,PIEDRAS NEGRAS SORIANA,AV INDUSTRIAL,Lomas del Mirador,Piedras Negras,Coahuila de Zaragoza,Piedras Negras,26070,-6.9,-17.6,13.0,Febrero,28.704596,-100.5167137
Devlyn,Metropolitana,Distrito 1,B059,SENDERO CHALCO,AV INGENIEROS,Santiago,Valle de Chalco Solidaridad,Estado de México,Valle de Chalco Solidaridad,56615,-2.6,2.4,-4.9,Febrero,19.282153,-98.9416122
Devlyn,Noroeste,Distrito 4,B428,MAZATLAN SORIANA,AV INSURGENTES,Villas del Estero,Mazatlán,Sinaloa,Mazatlán,82156,21.6,-5.3,28.4,Febrero,23.23299154103588,-106.40837519241599
Devlyn,Sur,Distrito 2,A506,C COMERCIAL LAS AMÉRICAS CHETUMAL,AV INSURGENTES KM 5.025,Maya Real,Othón P. Blanco,Quintana Roo,Chetumal,77084,-25.6,-24.5,-1.4,Febrero,18.5081738,-88.297144
Coppel,Sur,Distrito 2,A568,COPPEL CHETUMAL,AV INSURGENTES KM 5.025,Maya Real,Othón P. Blanco,Quintana Roo,Chetumal,77084,-33.1,-35.8,4.2,Febrero,18.5081738,-88.297144
Devlyn,Sur,Distrito 2,B168,LAS AMERICAS CHETUMAL II,AV INSURGENTES KM 5.025,Maya Real,Othón P. Blanco,Quintana Roo,Chetumal,77084,-44.6,-4.9,-41.8,Febrero,18.5081738,-88.297144
Devlyn,Metropolitana,Distrito 3,B854,PATIO TLALPAN,AV INSURGENTES SUR,Santa Úrsula Xitla,Tlalpan,Ciudad de México,Ciudad de México,14420,63.9,35.1,21.3,Febrero,19.28403515182822,-99.17571763225297
Devlyn,Noroeste,Distrito 4,A723,CULIACAN PLAZA FIESTA,AV INSURGENTES Y L. CARDENAS,Jorge Almada,Culiacán,Sinaloa,Culiacán Rosales,80200,-32.5,-19.2,-16.5,Febrero,24.7978965,-107.393395
Sears,Centro,Distrito 2,B913,SEARS ZENTRALIA COACALCO,AV JOSE LOPEZ PORTILLO,Santa María Magdalena Huizachitla,Coacalco de Berriozábal,Estado de México,Coacalco de Berriozabal,55715,26.0,53.8,-18.1,Febrero,19.6359452,-99.0948573
Devlyn,Noreste,Distrito 3,A761,PASEO SAN PEDRO,AV JOSE VASCONCELOS,Jardines Del Valle,San Pedro Garza García,Nuevo León,San Pedro Garza García,66220,-16.6,-3.2,-13.8,Febrero,25.65271255,-100.37223790945575
Devlyn,Sur,Distrito 5,A879,CHEDRAUI ACAYUCAN,AV JUAN DE LA LUZ ENRRIQUE,La Palma,Acayucan,Veracruz de Ignacio de la Llave,Acayucan,96056,40.5,5.1,33.8,Febrero,18.0281048,-95.03593818139205
Coppel,Sur,Distrito 5,A633,COPPEL ENRIQUEZ (ACAYUCAN),AV JUAN DE LA LUZ ENRRIQUE,La Palma,Acayucan,Veracruz de Ignacio de la Llave,Acayucan,96056,21.9,16.2,4.9,Febrero,18.0281048,-95.03593818139205
Devlyn,Centro,Distrito 6,A861,GALERIAS DEL RIO,AV JUAN PABLO II,3 Estrellas,La Piedad,Michoacán de Ocampo,La Piedad de Cabadas,59340,-1.0,16.2,-14.8,Febrero,20.3429949,-102.031124
Devlyn,Sur,Distrito 6,B016,VERACRUZ PLAZA MOCAMBO,AV JUAN PABLO II,Jardines de Virginia,Boca del Río,Veracruz de Ignacio de la Llave,Boca del Río,94294,3.6,20.5,-14.0,Febrero,19.160408387881557,-96.11681667017366
Coppel,Sur,Distrito 6,A599,COPPEL JUAREZ (XALAPA),AV JUAREZ,Xalapa Enríquez Centro,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91000,-53.5,-25.7,-37.4,Febrero,19.5408338,-96.9146374
Devlyn,Metropolitana,Distrito 1,A981,TEXCOCO CENTRO,AV JUAREZ SUR,Texcoco de Mora Centro,Texcoco,Estado de México,Texcoco de Mora,56100,24.5,30.3,-4.5,Febrero,19.5144327,-98.8821254
Coppel,Metropolitana,Distrito 5,A525,COPPEL JUERZ II (TOLUCA),AV JUAREZ SUR,Toluca De Lerdo Centro,Toluca,Estado de México,Toluca de Lerdo,50000,7.4,-10.0,19.3,Febrero,19.292545,-99.6569007
Coppel,Sur,Distrito 2,A602,COPPEL PLAZA LAS AMERICA PLAYA DEL CARMEN,AV KANTENAH,Calica,Solidaridad,Quintana Roo,Playa del Carmen,77710,-3.5,-20.3,21.1,Febrero,20.6308643,-87.0779503
Devlyn,Sur,Distrito 2,A854,LAS AMERICAS PLAYA DEL CARMEN,AV KANTENAH,Calica,Solidaridad,Quintana Roo,Playa del Carmen,77710,11.8,-3.1,15.5,Febrero,20.6308643,-87.0779503
Sears,Sur,Distrito 2,B289,SEARS PLAYA DEL CARMEN,AV KANTENAH,Calica,Solidaridad,Quintana Roo,Playa del Carmen,77710,13.1,-1.8,15.1,Febrero,20.6308643,-87.0779503
Devlyn,Noroeste,Distrito 5,A766,FORUM TEPIC,AV L D COLOSIO,Benito Juárez Oriente,Tepic,Nayarit,Tepic,63175,42.3,14.7,24.1,Febrero,21.5119156,-104.8915889
Coppel,Centro,Distrito 2,A555,COPPEL PLAZA SAN ANTONIO (CUAUTITLA IZC.),AV LA AURORA,Jardines de la Hacienda Sur,Cuautitlán Izcalli,Estado de México,Cuautitlán Izcalli,54720,-22.8,-28.9,8.6,Febrero,19.6531356,-99.2145002
Devlyn,Sur,Distrito 6,A727,VER. PLAZA LAS AMERICAS,AV LAS AMERICAS,Ylang Ylang,Boca del Río,Veracruz de Ignacio de la Llave,Boca del Río,94298,-8.6,0.6,-9.1,Febrero,19.11290675,-96.11184810632824
Sears,Sur,Distrito 6,B288,VER. SEARS PLAZA LAS AMERICAS,AV LAS AMERICAS,Ylang Ylang,Boca del Río,Veracruz de Ignacio de la Llave,Boca del Río,94298,-33.9,-23.1,-14.0,Febrero,19.11290675,-96.11184810632824
Devlyn,Sur,Distrito 5,B411,COATZACOALCOS SORIANA,AV LAS PALMAS,Guadalupe Victoria,Coatzacoalcos,Veracruz de Ignacio de la Llave,Coatzacoalcos,96520,-49.8,-16.4,-40.0,Febrero,18.1405019,-94.4344003
Devlyn,Cerrada,Cerrada,A938,DEVLYN PLAZA NEZA,AV LAZARO CARDENAS,Benito Juárez (La Aurora),Nezahualcóyotl,Estado de México,Ciudad Nezahualcóyotl,57000,-86.4,-97.3,403.9,Febrero,19.4079028,-99.0181547
Devlyn,Noreste,Distrito 3,A748,PLAZA VALLE ORIENTE,AV LAZARO CARDENAS,Las Canteras,Monterrey,Nuevo León,Monterrey,64750,10.2,-2.8,13.4,Febrero,25.6802019,-100.315258
Coppel,Sur,Distrito 6,A632,COPPEL XALAPA LAZARO CARDENAS,AV LAZARO CARDENAS,Las Jacarandas,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91157,18.5,20.8,-1.9,Febrero,19.5408338,-96.9146374
Devlyn,Sur,Distrito 6,A803,XALAPA CRISTAL,AV LAZARO CARDENAS,Predio De La Virgen,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91150,46.0,27.3,14.7,Febrero,19.542486691515414,-96.90858216800791
Devlyn,Noroeste,Distrito 2,A976,LIBERTAD CENTRO (CHIHUAHUA),AV LIBERTAD,Chihuahua Centro,Chihuahua,Chihuahua,Chihuahua,31000,9.8,-19.8,36.9,Febrero,28.6368669,-106.076745
Devlyn,Centro,Distrito 5,A782,LA LUCIERNAGA,AV LIBRAMIENTO J MANUEL ZAVALA,Insurgentes,San Miguel de Allende,Guanajuato,San Miguel de Allende,37745,49.1,14.0,30.8,Febrero,20.9130501,-100.73566002666199
Devlyn,Centro,Distrito 1,A720,LA CUSPIDE,AV LOMAS VERDES,Lomas de Occipaco,Naucalpan de Juárez,Estado de México,Naucalpan de Juárez,53247,-36.8,-24.5,-16.3,Febrero,19.4788356,-99.2327986
Devlyn,Noroeste,Distrito 5,A718,GUDALAJARA PLAZA DEL SOL,AV LOPEZ MATEOS,Ciudad Del Sol,Zapopan,Jalisco,Zapopan,45050,5.9,5.1,0.8,Febrero,20.6471073183234,-103.40643717920119
Devlyn,Noroeste,Distrito 5,B922,GALERIAS SANTA ANITA,AV LOPEZ MATEOS,La Teja,Tlajomulco de Zúñiga,Jalisco,Tlajomulco de Zúñiga,45640,0.6,8.8,-7.6,Febrero,20.48187375,-103.40050966382874
Devlyn,Centro,Distrito 3,B847,PORTAL CENTRO (PATIO BOUTIRINI),AV LORENZO BOUTURINI,Tránsito,Cuauhtémoc,Ciudad de México,Ciudad de México,06820,-14.2,-12.5,-2.0,Febrero,19.4326296,-99.1331785
Devlyn,Noroeste,Distrito 5,A033,PLAZA CARACOL,AV LOS TULES,Los Tules,Puerto Vallarta,Jalisco,Puerto Vallarta,48333,19.3,-18.2,45.9,Febrero,20.6407176,-105.220306
Sears,Noroeste,Distrito 5,B309,SEARS FORUM TEPIC,AV LUIS DONALDO COLOSIO,Benito Juárez Oriente,Tepic,Nayarit,Tepic,63175,14.0,2.1,11.6,Febrero,21.5119156,-104.8915889
Devlyn,Centro,Distrito 3,A787,MADERO 1,AV MADERO,Centro (Área 1),Cuauhtémoc,Ciudad de México,Ciudad de México,06000,1.2,-4.3,5.8,Febrero,19.4326296,-99.1331785
Devlyn,Sur,Distrito 5,A932,SAN ANDRES TUXTLA CENTRO,AV MADERO,San Andres Tuxtla Centro,San Andrés Tuxtla,Veracruz de Ignacio de la Llave,San Andrés Tuxtla,95700,63.3,14.9,42.2,Febrero,18.4633672,-95.19831533920046
Devlyn,Centro,Distrito 6,A927,MORELIA MADERO,AV MADERO ORIENTE,Centro Histórico,Morelia,Michoacán de Ocampo,Morelia,58000,-13.3,-3.7,-9.9,Febrero,19.6546004,-101.26237972291207
